,Job Salary,Job Experience Required,Key Skills,Role Category,Functional Area,Industry,Job Title
3315, Not Disclosed by Recruiter ,6 - 11 yrs, Mobile application development| Project development| Corporate| Cloud| Sales process| Management,Retail Sales,"Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager
3316, Not Disclosed by Recruiter ,4 - 8 yrs, Java| SOA| OOPS| Visual Force| .Net| Webservices| Apex| Salesforce,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
3317, Not Disclosed by Recruiter ,5 - 10 yrs, SAN| Relationship Executive| French| C| Cook| Technical Lead| Territory Executive,Programming & Design,"IT Software - Application Programming , Maintenance","Internet, Ecommerce",Team Lead/Technical Lead
3319, Not Disclosed by Recruiter ,1 - 2 yrs, TDS| Accounting| compliance| Gst| Accounts Finalisation,Accounts,"Accounts , Finance , Tax , Company Secretary , Audit","Accounting, Finance",Accounts Executive/Accountant
3320,"10,00,000 - 20,00,000 PA.",3 - 8 yrs, css| oracle| core php| hibernate| python developer| dot net| javascript| jquery| sql| spring| java| team leading| web technologies| .net| html,Programming & Design,"IT Software - Application Programming , Maintenance","Advertising, PR, MR, Event Management",Team Lead/Technical Lead
3321, Not Disclosed by Recruiter ,6 - 10 yrs, salesforce crm| salesforce.com| data quality| data extraction| data analysis| Market Research,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical)
3322, Not Disclosed by Recruiter ,6 - 10 yrs, Java| SOA| XML| BPEL| PL - SQL| Troubleshooting,Programming & Design,"IT Software - DBA , Datawarehousing","IT-Software, Software Services",Software Developer
3323, Not Disclosed by Recruiter ,8 - 13 yrs, Computer science| Hibernate| Core Java| Front end| Networking| XML| Struts| JSON| MVC| iBATIS,Programming & Design,"IT Software - Application Programming , Maintenance","BPO, Call Centre, ITeS",Software Developer
3324,"INR 2,25,000 - 2,75,000 PA.",2 - 5 Years,Internal Audit|Communication Skills|Process Quality|Banking Sales|Auditing|Unsecured Loans,Retail Sales,"Sales , Retail , Business Development",Banking / Financial Services / Broking,Sales/Business Development Manager
3325, Not Disclosed by Recruiter ,3 - 6 yrs, Mortgage| Accounting| Relationship,Corporate Sales,"Sales , Retail , Business Development","Recruitment, Staffing",Sales/Business Development Manager
3326,"1,75,000 - 2,50,000 PA.",0 - 1 yrs, night shift| bpo| non voice process| bca| chat process| campus| customer service| customer support| fresher| computer| bsc| english| international,Back Office/Web/Transaction Processing,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical)
3327, Not Disclosed by Recruiter ,3 - 4 yrs, C#| SQL| Machine learning| development| interfaces| c| mobile| Data analytics| Mobile applications| quality| analytics| Web services| java| application| web| Cloud| Database| developer| applications,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
3328, Not Disclosed by Recruiter ,5 - 8 yrs,Javascript| Oracle| XML| html5| HTML| microsoft| spring| java| RDBMS| web| MySQL| design| j2ee| Web designing| api| architecture| deployment| rest| Automation| website| testing| mobile| it| nosql| jQuery| .net| MVC,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
3329, Not Disclosed by Recruiter ,1 - 3 yrs, Sales| market research| customer profiling| sales executive| marketing executive| distributors| Business Development| sales strategy,Retail Sales,"Sales , Retail , Business Development","Recruitment, Staffing",Sales Executive/Officer
3330, Not Disclosed by Recruiter ,3 - 6 yrs, Hardware Developer| CAD| design| PCB| stackup| driven| methodologies,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
3331,"1,25,000 - 1,50,000 PA.",0 - 1 yrs, front office| front desk| reception,Front Office/Customer Care,"Hotels , Restaurants","Travel , Hotels , Restaurants , Airlines , Railways",Front Office/Guest Relations Executive/Manager
3332, Not Disclosed by Recruiter ,1 - 6 yrs, Javascript| PHP| HTML| Web technologies| MySQL| CMS| Object oriented programming| Ajax,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
3334, Not Disclosed by Recruiter ,0 - 2 yrs, Customer Service| Help Desk| Information| Telephony support| customer relationship| access controls| Vendor Management| Asset Management,Life Insurance/Financial Services,"Financial Services , Banking , Investments , Insurance","Recruitment, Staffing",Actuary Manager
3335, Not Disclosed by Recruiter ,1 - 6 yrs, Customer service orientation| Email| Customer Service Executive| Servicing,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","Security, Law Enforcement",Associate/Senior Associate -(NonTechnical)
3336,"INR 3,00,000 - 5,00,000 PA.",2 - 5 Years,Power Bi|SQL|Data Integration|Data Reporting|People Development|Management Services|Leadership Hiring|Maintenance Activities|Continuous Improvement|Client Satisfaction,Operations/Processes/Finance/Legal,"Financial Services , Banking , Investments , Insurance",Banking / Financial Services / Broking,Operations Manager
3337, Not Disclosed by Recruiter ,10 - 15 yrs, Linux| BIOS| SOC| OWASP| Security testing| Windows| Firmware| Cryptography| Vulnerability assessment| Python,Admin/Maintenance/Security/Datawarehousing,"IT Software - Network Administration , Security","IT-Software, Software Services",System Security
3338, Not Disclosed by Recruiter ,5 - 8 yrs, Outbound| Data analysis| SAS| Troubleshooting| VB| Analytics| Financial services| SQL| Auditing,System Design/Implementation/ERP/CRM,"IT Software - Application Programming , Maintenance","Banking, Financial Services, Broking",Business Analyst
3339, Not Disclosed by Recruiter ,0 - 3 yrs, Technical support| Outbound| Service| Comp| US shift| International BPO| Inbound calls| Bonus| process,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical)
3340,"INR 10,00,000 - 20,00,000 PA.",4 - 9 Years,unity server|ucs|cisco ucs|IPCC|cisco ipcc|cisco voice network|cisco ip telephony|ccna voice|cisco voice|cucm|ccie|cisco unity connection|voice gateways|mgcp|cisco call manager|ccvp|unity voicemail|h323|cisco ipt,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations",IT-Hardware & Networking,Associate/Senior Associate -(Technical)
3341, Not Disclosed by Recruiter ,2 - 7 yrs, DSP| Embedded System| C++| C| MATLAB| Signal Processing,Programming & Design,"IT Software - Embedded , EDA , VLSI , ASIC , Chip Design","IT-Software, Software Services",Software Developer
3342, Not Disclosed by Recruiter ,3 - 8 yrs, jQuery| OOPS| MySQL| Javascript| PHP| JSON| MVC,Programming & Design,"IT Software - Application Programming , Maintenance","Recruitment, Staffing",Software Developer
3343, Not Disclosed by Recruiter ,3 - 4 yrs, C| Silverlight| ASP.Net Ajax| ASP.Net| Business Executive| SQL| Ajax,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
3344, Not Disclosed by Recruiter ,2 - 5 yrs,j2ee| struts| hibernate| servlets| jboss| ooad| mvc framework| spring mvc| e commerce| web applications,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
3345, Not Disclosed by Recruiter ,2 - 5 yrs, Analytical skills| Layout design| Web technologies,Programming & Design,"IT Software - eCommerce , Internet Technologies","IT-Software, Software Services",Software Developer
3346, Not Disclosed by Recruiter ,6 - 9 yrs, demand generation| tele calling| inside sales| Lead Generation| cold calling| Telecalling| tele sales,Sales Support,"Sales , Retail , Business Development","IT-Software, Software Services",Telesales/Telemarketing Executive/Officer
3347,"1,50,000 - 3,00,000 PA.",0 - 3 yrs, telecaller| csr| customer support executive| verbal communication| cse| Telecalling| telesales| tele marketing executive| telemarketing| communication skills| customer care executive,Sales Support,"Sales , Retail , Business Development","Education, Teaching, Training",Telesales/Telemarketing Executive/Officer
3348, Not Disclosed by Recruiter ,7 - 12 yrs, qa management| performance reporting| document review| quality standards,Purchase/Material Management,Purchase / Logistics / Supply Chain,"Pharma, Biotech, Clinical Research",Quality Assurance/Quality Control Manager
3349, Not Disclosed by Recruiter ,0 - 2 yrs, Technical support| BPO| Outbound| Night shift| English| Customer Support Executive| Process Associate| process| Desktop support| Technical sales,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical)
3350, incentives ,0 - 2 yrs, domestic bpo| cce| bpo| domestic sales,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical)
3351,"2,50,000 - 5,00,000 PA.",2 - 4 yrs,html| css| php| codeigniter| w3c| mvc framework| rest| laravel| wordpress| core php| jquery| javascript| cms,Programming & Design,"IT Software - Application Programming , Maintenance","Advertising, PR, MR, Event Management",Software Developer
3352, Not Disclosed by Recruiter ,3 - 8 yrs, mumbai| ghaziabad| jaipur| rajasthan| jodhpur| kota| cake php| javascript| zend| Jquery| css| html| php| MySQL| java| opps,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
3353,"10,00,000 - 15,00,000 PA.",3 - 5 yrs, hive| data analytics| spark| core java| sql,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
3354, Not Disclosed by Recruiter ,3 - 8 yrs,Azure| Db2| RDBMS| Analytical| PAAS| J2Ee| Oracle| Object oriented programming| Business Executive| SQL,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
3355,"2,50,000 - 4,75,000 PA.",2 - 7 yrs, General Insurance| Agency Channel| Insurance Sales| Health Insurance,Retail Sales,"Sales , Retail , Business Development",Insurance,Sales/Business Development Manager
3356, Not Disclosed by Recruiter ,0 - 3 yrs, English| process| Outbound process| Web technologies| International BPO| International sales| Group| Packaging| Customer Care Executive| Time,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical)
3357, Not Disclosed by Recruiter ,1 - 5 yrs, Linux| Javascript| HTML| jQuery| Web development| MVC| Investment banking| Risk management| SDLC| Python,Programming & Design,"IT Software - Application Programming , Maintenance","Banking, Financial Services, Broking",Software Developer
3358, Not Disclosed by Recruiter ,8 - 10 yrs, Linkedin| Social Media| recruiting| Hiring| Sourcing| Twitter| Facebook| IT Services| Recruitment| Talent Acquisition,HR/ Recruitment / IR,"HR , Recruitment , Administration , IR","IT-Software, Software Services",Recruitment Manager
3359, Fixed salary + incentives ,1 - 2 yrs, md| diabetology| diabetes| Sugar| md medicine| general medicine| Internal Medicine,Medical Professional,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","Medical, Healthcare, Hospitals",Medical Officer
3360, Not Disclosed by Recruiter ,2 - 7 yrs, Redhat Linux| NoSQL| Postgresql| NAGIOS| MySQL| Mariadb| PHP| MongoDB| Apache| Zabbix,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
3361, Not Disclosed by Recruiter,0 - 5 Years,German Language|French|Spanish|Italian|Spanish Language Expert|Italian Language Specialist|Language,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations",BPO / Call Centre / ITES,Associate/Senior Associate -(NonTechnical)
3362, Not Disclosed by Recruiter ,3 - 8 yrs, Printing| Graphics| Post production| Product promotion| level| Shooting| Research| Merchandising| Fitness,Production/Technical,"TV , Films , Production , Broadcasting","Retail, Wholesale",Photographer
3363, Not Disclosed by Recruiter ,5 - 10 yrs, iti electrical| electrical engineer| Technician| site engineer| electrical maintenance| maintenance activities| mep| Electrical Site Engineer| Technician Activities| Electrician,Site Engineering,"Site Engineering , Project Management","Real Estate, Property",Maintenance Engineer
3364, Not Disclosed by Recruiter ,10 - 15 yrs, Counselor| Mentor| Trainer| Advisor| Teaching,University Level,"Teaching , Education , Training , Counselling","IT-Software, Software Services",Lecturer/Professor
3365, Not Disclosed by Recruiter ,1 - 6 yrs, Outbound| Service| Technical support| Voice process| Target| Technical| Inbound calls| Bonus| Sales support| Comp,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(Technical)
3367, Not Disclosed by Recruiter ,5 - 8 yrs, Salesforce Administrator| Salesforce.com| Salesforce CRM,Admin/Maintenance/Security/Datawarehousing,"IT Software - ERP , CRM","IT-Software, Software Services",System Administrator
3368,"2,00,000 - 3,50,000 PA.",2 - 6 yrs, Invoicing| Tally ERP| Payment Followup| billing,Accounts,"Accounts , Finance , Tax , Company Secretary , Audit","FMCG, Foods, Beverage",Accounts Executive/Accountant
3369,"3,00,000 - 4,00,000 PA.",3 - 6 yrs, ledger| TDS| Accounting| Finance| Ledger Scrutiny| Payables| GST| Bank Reconciliation| Credit Card Reconciliation| Auditing| Income Tax| payable| Taxation| PO,Accounts,"Accounts , Finance , Tax , Company Secretary , Audit","Retail, Wholesale",Accounts Manager
3370, Not Disclosed by Recruiter ,5 - 10 yrs, SAP SD| SAP SD Consultant,System Design/Implementation/ERP/CRM,IT Software - Other,"IT-Software, Software Services",ERP Consultant
3371, Not Disclosed by Recruiter ,2 - 7 yrs, Product marketing| Social media| Budgeting| Networking| Graphics| Consumer research| Wireless| Marketing budget| Simulation| Consumer insights,Marketing,"Marketing , Advertising , MR , PR , Media Planning","Banking, Financial Services, Broking",Product/Brand Manager
3372,"3,00,000 - 6,50,000 PA.",5 - 10 yrs, accounting standards| tax audit| vat| finance| auditing| statutory audit| taxation| income tax return| service tax| Gst,Accounts,"Accounts , Finance , Tax , Company Secretary , Audit","Real Estate, Property",Accounts Manager
3373, Not Disclosed by Recruiter ,0 - 5 yrs, Recruitment| Cold calling| Networking| Mining| Technical recruitment| US recruitment| Interview coordination| Client communication| Management| Database,HR/ Recruitment / IR,"HR , Recruitment , Administration , IR","IT-Software, Software Services",Recruitment Executive
3374, Not Disclosed by Recruiter ,2 - 7 yrs, Javascript| PHP| HTML| CSS| jQuery| Web technologies| MySQL,Programming & Design,IT Software - Client/Server Programming,"Recruitment, Staffing",Software Developer
3375, Not Disclosed by Recruiter ,7 - 12 yrs, SQL| Javascript| PHP| development| c| technical| software| mobile| Perl| Computer science| analytics| jQuery| Coding| web| service| Consulting| Ruby| programming| Python,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
3376,"1,50,000 - 3,00,000 PA.",0 - 5 yrs, Purchase| Purchase Planning,Purchase/Material Management,Purchase / Logistics / Supply Chain,"Automobile, Auto Anciliary, Auto Components",Purchase Executive
3377, Not Disclosed by Recruiter ,7 - 8 yrs, Design| Project| Time Management| Project Management| Boq| Rate Analysis| Home Furnishing| EPC| MEP,Project Management,"Site Engineering , Project Management","Retail, Wholesale",Project Manager-Production/Manufacturing/Maintenance
3378, Not Disclosed by Recruiter ,6 - 11 yrs, Recruitment| Freight forwarding| Brand building| Export sales| Finance,Retail Sales,"Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager
3379, Not Disclosed by Recruiter ,8 - 12 yrs, Agency Development| Agency Development Manager| Insurance| Training & Development| Insurance Sales| Sales,Life Insurance/Financial Services,"Financial Services , Banking , Investments , Insurance",Insurance,Sales/Business Development-Manager
3381, Not Disclosed by Recruiter ,6 - 11 yrs,Team management| h1b| ERP| US IT recruitment| US staffing| US IT staffing| Time management| Excel| Training| J2Ee,HR/ Recruitment / IR,"HR , Recruitment , Administration , IR","Recruitment, Staffing",Recruitment Manager
3382,"3,00,000 - 4,75,000 PA.",2 - 6 yrs, C#| node.js| jQuery| MySQL| MVC| SQL Server| React.Js| ASP.Net MVC,Programming & Design,IT Software - Client/Server Programming,"IT-Software, Software Services",Software Developer
3383,"7,00,000 - 17,00,000 PA.",5 - 10 yrs, Networking| UTM| Network Security| Sophos| Operational Support| Networking Protocols| Firewall| Cisco,Admin/Maintenance/Security/Datawarehousing,"IT Software - Network Administration , Security","IT-Software, Software Services",Network Administrator
3384, Not Disclosed by Recruiter ,7 - 10 yrs, Facility management| Windows| Academic Director| Training| Report writing| Hostel Warden| Representative| Supervisor| Management| Head Business Development,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","Recruitment, Staffing",Associate/Senior Associate -(NonTechnical)
3385, Not Disclosed by Recruiter ,0 - 1 yrs, SAN| Networking| Cisco Certification| ITSM| ITIL| MS Office| Six Sigma| PMP| Cloud Computing| SFDC| Avaya,Admin/Maintenance/Security/Datawarehousing,"IT Software - Network Administration , Security","Strategy, Management Consulting Firms",Network Administrator
3386, Not Disclosed by Recruiter ,5 - 10 yrs, FunctionaL Testing| Air Cargo,Programming & Design,IT Software - QA & Testing,"IT-Software, Software Services",Testing Engineer
3387, Not Disclosed by Recruiter ,0 - 3 yrs,spring boot| Hibernate| Operating systems| html5| Analytical| Banking| Manager Quality Control| Selenium| Unit testing| Auditing,Programming & Design,"IT Software - Application Programming , Maintenance","Education, Teaching, Training",Software Developer
3388, Not Disclosed by Recruiter ,4 - 8 yrs, Performance tuning| JSON| Agile| Cloud computing| rest| github| Architecture| SOA| technical| Powershell| developing| microsoft| cloud| Web technologies| web| service| devops| api| Monitoring| deployment,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
3389, Not Disclosed by Recruiter ,0 - 2 yrs, Sales Executive,Retail Sales,"Sales , Retail , Business Development","BPO, Call Centre, ITeS",Sales Executive/Officer
3390, Not Disclosed by Recruiter ,4 - 9 yrs, Team Development| UX| JavaScript| HTML,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
3391, Not Disclosed by Recruiter ,3 - 7 yrs,CSS| Rest| Front End| Html5| UI Development| Javascript| HTML| MVC| JQuery| React.Js,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
3393, Not Disclosed by Recruiter ,5 - 10 yrs, Java| Spring boot| Spring| microservices,Programming & Design,IT Software - System Programming,"Banking, Financial Services, Broking",Software Developer
3394,"3,00,000 - 4,00,000 PA.",2 - 4 yrs, Sales| Market Entry Strategy| Senior Management| Social Media Marketing| Marketing Programs| Financial Modelling,Senior Management,"Sales , Retail , Business Development","FMCG, Foods, Beverage",Head/VP/GM/National Manager -Sales
3395, Not Disclosed by Recruiter ,2 - 5 yrs, Regulatory Affairs| Dmf,Drug Regulatory Affairs/Documentation,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","Pharma, Biotech, Clinical Research",Drug Regulatory Director
3396, Not Disclosed by Recruiter ,0 - 1 yrs, Junior Marketing Executive| Internship| Online bidding| Analytical skills| WHO| Freelancing| Guru| Local| Business Executive,Corporate Sales,"Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager
3397, Not Disclosed by Recruiter ,3 - 8 yrs,Object oriented design| Dicom| XML| Imaging| Javascript| Tools| XSLT| microsoft| SQL| CSS3,Programming & Design,"IT Software - Application Programming , Maintenance","Recruitment, Staffing",Software Developer
3398, Not Disclosed by Recruiter ,5 - 8 yrs, E-learning| Supply chain management| Monitoring| Training| Service level| Usage| Customer satisfaction| Management| Performance improvement,Architectural Services,"Architecture , Interior Design","Recruitment, Staffing",Architect
3399, Not Disclosed by Recruiter ,8 - 15 yrs, Export sales| export| import,Production/Merchandising/Business Development,"Export , Import , Merchandising","Recruitment, Staffing",Business Development Manager
3400, Not Disclosed by Recruiter ,10 - 12 yrs, aquaculture| Interpersonal skills| Sales planning| Analytical| MS Office| Techno-commercial| Technical support| Brand building| Monitoring,Retail Sales,"Sales , Retail , Business Development","Industrial Products, Heavy Machinery",Sales/Business Development Manager
3401, According to the industry standards ,12 - 18 yrs, oil| gas| refinery| petrochemical| mechanical engineering| onshore| rotating equipments| chemical,Production/Manufacturing/Maintenance,"Production , Manufacturing , Maintenance","Construction, Engineering, Cement, Metals",Engineering Manager
3402, Not Disclosed by Recruiter ,3 - 8 yrs, website| operations| oracle| service| cms| specification| php| sales process| web development| tools,Programming & Design,"IT Software - Application Programming , Maintenance","Media, Entertainment, Internet",Software Developer
3404, Not Disclosed by Recruiter ,5 - 7 yrs, dietetics| university| professor activities| teaching,University Level,"Teaching , Education , Training , Counselling","Education, Teaching, Training",Lecturer/Professor
3405, Not Disclosed by Recruiter ,1 - 4 yrs, automotive design| Design review| Manager Technology| Cost,Engineering Design,"Engineering Design , R&D","Industrial Products, Heavy Machinery",Senior Design Engineer
3406, Not Disclosed by Recruiter ,1 - 6 yrs, Cold calling| Usage| PDF| Field sales| Sales Executive| Liferay| portal development| Direct selling,Retail Sales,"Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager
3407, Not Disclosed by Recruiter ,2 - 6 yrs, Sales| Relationship| Equity,Corporate Sales,"Sales , Retail , Business Development","Recruitment, Staffing",Sales Executive/Officer
3408, Not Disclosed by Recruiter ,1 - 6 yrs, Training| Customer service| Customer complaints| Troubleshooting| Technical support| Recruitment,Production/Manufacturing/Maintenance,"Production , Manufacturing , Maintenance","IT-Software, Software Services",Service/Maintenance Engineer
3409, Not Disclosed by Recruiter ,3 - 6 yrs, QT| C| C++,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
3411,"5,00,000 - 8,00,000 PA.",3 - 6 yrs, erp implementation,System Design/Implementation/ERP/CRM,"IT Software - ERP , CRM","FMCG, Foods, Beverage",ERP Consultant
3413,"INR 1,00,000 - 2,50,000 PA.",0 - 1 Years,CSE|EEE|b.tech|IT,Programming & Design,"IT Software - Application Programming , Maintenance",IT-Software / Software Services,Software Developer
3414, Not Disclosed by Recruiter ,2 - 7 yrs, ux| information architecture| architectural design| front end| business intelligence,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Graphic/Web Designer
3415, Not Disclosed by Recruiter ,2 - 6 yrs, Adobe Acrobat| MSTP| Technical Writing,QA/Testing/Documentation,IT Software - Other,"Aviation, Aerospace, Aeronautical",Technical Writer
3416, Not Disclosed by Recruiter,8 - 10 Years,Global Procurement|Purchase|RFQ|Spend Analysis|Indirect Sourcing|RFP|Negotiation|Procurement Management|Procurement Manager|Sourcing,Purchase/Material Management,"Supply Chain , Logistics , Purchase , Materials",IT-Software / Software Services,Purchase/Vendor Development Manager
3417, Not Disclosed by Recruiter ,2 - 3 yrs, linux| dns| voip| ftp| tools| standards| tftp| good communication skills| tcp ip| design,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
3418,"3,00,000 - 3,50,000 PA.",0 - 2 yrs, Voice| sales| Counselling| Admissions| Counsellor| Education| bpo| Telecalling| Telemarketing| Inbound| Outbound| caller| cce| Fresher| uk| us| sale| business development| bde| lead generation| counseling,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Telecalling/Telemarketing Executive
3419,"7,50,000 - 9,50,000 PA.",10 - 15 yrs, purchase management| gm| operations management| revenue management| general management| customer satisfaction| human capital,Food & Beverage,"Hotels , Restaurants","Travel , Hotels , Restaurants , Airlines , Railways",General Manager
3420, Not Disclosed by Recruiter ,5 - 8 yrs, c++| C| design| MySQL| JavaScript| HTML,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
3421, Not Disclosed by Recruiter ,2 - 3 yrs, Computer science| Telecom| Networking| Linux| Business studies| Pharmacy| Botany| Hotel management| Healthcare| Physical education,University Level,"Teaching , Education , Training , Counselling","BPO, Call Centre, ITeS",Lecturer/Professor
3423, Not Disclosed by Recruiter ,2 - 6 yrs, Semiconductor| Debugging| Signal processing| DSP| algorithms| C++| development| btech| methods| Algorithm development| Programming| optimization| design,Programming & Design,"IT Software - Embedded , EDA , VLSI , ASIC , Chip Design","IT-Software, Software Services",Software Developer
3424, Not Disclosed by Recruiter ,2 - 6 yrs, marketing executive| distributors| customer profiling| sales strategy| market research| Business Development| sales executive,Retail Sales,"Sales , Retail , Business Development","Recruitment, Staffing",Sales Executive/Officer
3425, Not Disclosed by Recruiter ,3 - 5 yrs, assets| real estate| part time| rf| documents| outsourcing| managed services| business analytics| cam| email,Accounts,"Accounts , Finance , Tax , Company Secretary , Audit","Real Estate, Property",Accounts Executive/Accountant
3427, Not Disclosed by Recruiter ,7 - 10 yrs, Java| Spring Boot| Microservices| Rest,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Team Lead/Technical Lead
3428, Not Disclosed by Recruiter ,1 - 3 yrs, Data entry,Other,"ITES , BPO , KPO , LPO , Customer Service , Operations","Strategy, Management Consulting Firms",Fresher
3429, Not Disclosed by Recruiter ,1 - 2 yrs, Customer support| MIS| Executive management| Commodity Markets| Senior Executive| Leased line| Management| Basic| Trade,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","Banking, Financial Services, Broking",Associate/Senior Associate -(NonTechnical)
3430, Not Disclosed by Recruiter ,6 - 10 yrs, project management| operations| analytical| middle office| sme| fixed income| pricing| net asset value| ba| corporate actions,Programming & Design,"IT Software - Application Programming , Maintenance","Strategy, Management Consulting Firms",Team Lead/Technical Lead
3431, Not Disclosed by Recruiter ,1 - 4 yrs, Evaluation| Networking| Marketing campaigns| Market research| Business tie ups| Business Development Executive| Counselling| Monitoring| Proof reading| Liaising,Retail Sales,"Sales , Retail , Business Development","Pharma, Biotech, Clinical Research",Sales/Business Development Manager
3432, Not Disclosed by Recruiter ,1 - 4 yrs, Outbound| Night shift| Technical support| English| Technical Support Executive| Inbound process| Inbound calls| Domestic BPO| employee referral| US shift,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical)
3434, Not Disclosed by Recruiter ,1 - 5 yrs, interviewing| screening| recruitment| HR| interview coordination| sourcing| Recruiter,HR/ Recruitment / IR,"HR , Recruitment , Administration , IR","Recruitment, Staffing",Recruitment Executive
3435,Openings: 1,3 - 5 Years,Video Editing|Creative Designing|Strategy|Business Development|Branding,Corporate Planning/Consulting/Strategy,"Strategy , Management Consulting , Corporate Planning",Accounting / Finance,Research Associate
3436, Not Disclosed by Recruiter ,0 - 2 yrs, Outbound| Technical sales| Sales process| US shift| Bonus| Technical support| International BPO,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Telecalling/Telemarketing Executive
3437, Not Disclosed by Recruiter ,7 - 10 yrs, Automation testing| QA automation| Software services| Python| Scripting,Programming & Design,IT Software - QA & Testing,"Recruitment, Staffing",Testing Engineer
3438, Not Disclosed by Recruiter ,4 - 6 yrs, Help Desk| Customer Service| data analysis| customer relationship| access controls| Asset Management| Vendor Management,Project Management,"IT Software - ERP , CRM","Internet, Ecommerce",Project Manager-IT/Software
3439,"1,50,000 - 2,50,000 PA.",2 - 7 yrs, Educational Sales| education sales| lead generation| business development| institutional marketing| Marketing| educational marketing,Retail Sales,"Sales , Retail , Business Development","Education, Teaching, Training",Sales/Business Development Manager
3441, Not Disclosed by Recruiter ,3 - 6 yrs, TCP| Computer science| Technical training| Networking| IP| Problem management| microsoft azure| Information technology| Monitoring| Technical support,Admin/Maintenance/Security/Datawarehousing,"IT Software - Network Administration , Security",IT-Hardware & Networking,Technical Support Engineer
3442,Openings: 1,7 - 10 Years,PCI DSS|Cloud Security|Cisa|Networking|ISO 27001|Information Security|Nist|Cissp|Data Privacy|Auditing,Project Management,"IT Software - Network Administration , Security",IT-Software / Software Services,Project Manager-IT/Software
3443,"5,00,000 - 12,00,000 PA.",3 - 8 yrs, PA| Payroll| PMO| SAP HCM| SAP HR| SCOPE| Successfactors| Project Delivery| OM| Delivery Management,System Design/Implementation/ERP/CRM,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",ERP Consultant
3444,"2,50,000 - 5,50,000 PA.",1 - 6 yrs, customer service| captive unit| spoken english| icc| collections| crm| customer care| MNC| amex| american express| barclays| encore| exl| british airways| wns| wipro| dell| hcl| cvent,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical)
